SP1_Transport	Problem type: adjoint
cell    node    group   phi     
0       0       0       0.0422461
0       1       0       0.0443584
1       0       0       0.0443584
1       1       0       0.0464424
2       0       0       0.0464424
2       1       0       0.048497
3       0       0       0.048497
3       1       0       0.0505212
4       0       0       0.0505212
4       1       0       0.052514
5       0       0       0.052514
5       1       0       0.0544746
6       0       0       0.0544746
6       1       0       0.0564025
7       0       0       0.0564025
7       1       0       0.0582971
8       0       0       0.0582971
8       1       0       0.060158
9       0       0       0.060158
9       1       0       0.0619848
10      0       0       0.0619848
10      1       0       0.0637773
11      0       0       0.0637773
11      1       0       0.0655354
12      0       0       0.0655354
12      1       0       0.0672589
13      0       0       0.0672589
13      1       0       0.0689478
14      0       0       0.0689478
14      1       0       0.0706022
15      0       0       0.0706022
15      1       0       0.0722222
16      0       0       0.0722222
16      1       0       0.0738079
17      0       0       0.0738079
17      1       0       0.0753595
18      0       0       0.0753595
18      1       0       0.0768772
19      0       0       0.0768772
19      1       0       0.0783613
20      0       0       0.0783613
20      1       0       0.0798122
21      0       0       0.0798122
21      1       0       0.0812301
22      0       0       0.0812301
22      1       0       0.0826154
23      0       0       0.0826154
23      1       0       0.0839685
24      0       0       0.0839685
24      1       0       0.0852899
25      0       0       0.0852899
25      1       0       0.0865799
26      0       0       0.0865799
26      1       0       0.087839
27      0       0       0.087839
27      1       0       0.0890677
28      0       0       0.0890677
28      1       0       0.0902665
29      0       0       0.0902665
29      1       0       0.0914358
30      0       0       0.0914358
30      1       0       0.0925761
31      0       0       0.0925761
31      1       0       0.093688
32      0       0       0.093688
32      1       0       0.0947719
33      0       0       0.0947719
33      1       0       0.0958284
34      0       0       0.0958284
34      1       0       0.096858
35      0       0       0.096858
35      1       0       0.0978612
36      0       0       0.0978612
36      1       0       0.0988385
37      0       0       0.0988385
37      1       0       0.0997905
38      0       0       0.0997905
38      1       0       0.100718
39      0       0       0.100718
39      1       0       0.10162 
40      0       0       0.10162 
40      1       0       0.102499
41      0       0       0.102499
41      1       0       0.103355
42      0       0       0.103355
42      1       0       0.104188
43      0       0       0.104188
43      1       0       0.104999
44      0       0       0.104999
44      1       0       0.105788
45      0       0       0.105788
45      1       0       0.106555
46      0       0       0.106555
46      1       0       0.107302
47      0       0       0.107302
47      1       0       0.108029
48      0       0       0.108029
48      1       0       0.108735
49      0       0       0.108735
49      1       0       0.109423
50      0       0       0.109423
50      1       0       0.110091
51      0       0       0.110091
51      1       0       0.110741
52      0       0       0.110741
52      1       0       0.111373
53      0       0       0.111373
53      1       0       0.111988
54      0       0       0.111988
54      1       0       0.112585
55      0       0       0.112585
55      1       0       0.113165
56      0       0       0.113165
56      1       0       0.11373 
57      0       0       0.11373 
57      1       0       0.114278
58      0       0       0.114278
58      1       0       0.114811
59      0       0       0.114811
59      1       0       0.115329
60      0       0       0.115329
60      1       0       0.115832
61      0       0       0.115832
61      1       0       0.116321
62      0       0       0.116321
62      1       0       0.116796
63      0       0       0.116796
63      1       0       0.117257
64      0       0       0.117257
64      1       0       0.117705
65      0       0       0.117705
65      1       0       0.11814 
66      0       0       0.11814 
66      1       0       0.118563
67      0       0       0.118563
67      1       0       0.118973
68      0       0       0.118973
68      1       0       0.119372
69      0       0       0.119372
69      1       0       0.119759
70      0       0       0.119759
70      1       0       0.120134
71      0       0       0.120134
71      1       0       0.120499
72      0       0       0.120499
72      1       0       0.120853
73      0       0       0.120853
73      1       0       0.121196
74      0       0       0.121196
74      1       0       0.12153 
75      0       0       0.12153 
75      1       0       0.121854
76      0       0       0.121854
76      1       0       0.122168
77      0       0       0.122168
77      1       0       0.122472
78      0       0       0.122472
78      1       0       0.122768
79      0       0       0.122768
79      1       0       0.123055
80      0       0       0.123055
80      1       0       0.123333
81      0       0       0.123333
81      1       0       0.123603
82      0       0       0.123603
82      1       0       0.123865
83      0       0       0.123865
83      1       0       0.124118
84      0       0       0.124118
84      1       0       0.124365
85      0       0       0.124365
85      1       0       0.124603
86      0       0       0.124603
86      1       0       0.124835
87      0       0       0.124835
87      1       0       0.125059
88      0       0       0.125059
88      1       0       0.125276
89      0       0       0.125276
89      1       0       0.125487
90      0       0       0.125487
90      1       0       0.125691
91      0       0       0.125691
91      1       0       0.125889
92      0       0       0.125889
92      1       0       0.126081
93      0       0       0.126081
93      1       0       0.126267
94      0       0       0.126267
94      1       0       0.126446
95      0       0       0.126446
95      1       0       0.126621
96      0       0       0.126621
96      1       0       0.126789
97      0       0       0.126789
97      1       0       0.126952
98      0       0       0.126952
98      1       0       0.12711 
99      0       0       0.12711 
99      1       0       0.127263
100     0       0       0.127263
100     1       0       0.127411
101     0       0       0.127411
101     1       0       0.127554
102     0       0       0.127554
102     1       0       0.127692
103     0       0       0.127692
103     1       0       0.127826
104     0       0       0.127826
